Date,1306.T,1321.T,1570.T,6758.T,7203.T
2024-01-04,2487.0,34510.0,20880.0,2619.0,2635.0
2024-01-05,2502.0,34650.0,21010.0,2634.0,2701.5
2024-01-09,2522.0,35030.0,21490.0,2668.0,2694.0
2024-01-10,2556.0,35750.0,22375.0,2770.0,2745.0
2024-01-11,2596.0,36390.0,23195.0,2868.0,2844.0
2024-01-12,2608.5,36890.0,23825.0,2915.0,2837.0
2024-01-15,2621.0,36980.0,23915.0,2884.0,2849.5
2024-01-16,2621.5,36990.0,23910.0,2876.0,2854.5
2024-01-17,2608.5,36820.0,23690.0,2883.0,2856.5
2024-01-18,2605.5,36770.0,23660.0,2848.0,2931.5
2024-01-19,2624.5,37320.0,24340.0,2905.0,2962.0
2024-01-22,2663.5,37930.0,25155.0,2960.0,2982.0
2024-01-23,2659.5,37890.0,25080.0,2939.0,2991.0
2024-01-24,2644.0,37570.0,24650.0,2907.0,2959.5
2024-01-25,2647.0,37600.0,24725.0,2871.0,2964.0
2024-01-26,2612.0,37070.0,24035.0,2801.0,2892.5
2024-01-29,2643.5,37380.0,24405.0,2871.0,2983.5
2024-01-30,2643.5,37410.0,24445.0,2896.0,2959.5
2024-01-31,2670.0,37640.0,24760.0,2939.0,3000.0
2024-02-01,2649.5,37300.0,24335.0,2878.0,2945.0
2024-02-02,2657.5,37520.0,24590.0,2895.0,2951.5
2024-02-05,2678.5,37750.0,24880.0,2895.0,2992.0
2024-02-06,2656.5,37510.0,24550.0,2851.0,3135.0
2024-02-07,2668.0,37490.0,24540.0,2860.0,3260.0
2024-02-08,2681.5,38250.0,25535.0,2865.0,3350.0
2024-02-09,2676.0,38260.0,25590.0,2847.0,3323.0
2024-02-13,2735.5,39380.0,27060.0,2947.0,3456.0
2024-02-14,2703.0,39140.0,26710.0,2932.0,3385.0
2024-02-15,2716.0,39590.0,27325.0,2742.0,3382.0
2024-02-16,2750.0,39950.0,27810.0,2695.0,3414.0
2024-02-19,2763.5,39880.0,27745.0,2695.0,3430.0
2024-02-20,2762.5,39820.0,27640.0,2663.0,3414.0
2024-02-21,2748.5,39710.0,27485.0,2637.0,3429.0
2024-02-22,2786.0,40580.0,28685.0,2662.0,3521.0
2024-02-26,2798.5,40660.0,28790.0,2607.0,3565.0
2024-02-27,2802.0,40730.0,28880.0,2586.0,3582.0
2024-02-28,2799.0,40680.0,28810.0,2584.0,3570.0
2024-02-29,2805.0,40670.0,28805.0,2589.0,3621.0
2024-03-01,2834.5,41440.0,29905.0,2643.0,3680.0
2024-03-04,2834.5,41620.0,30160.0,2605.0,3662.0
2024-03-05,2848.5,41660.0,30170.0,2590.0,3729.0
2024-03-06,2858.5,41620.0,30170.0,2591.0,3769.0
2024-03-07,2845.0,41080.0,29395.0,2587.0,3660.0
2024-03-08,2851.0,41150.0,29500.0,2594.0,3610.0
2024-03-11,2791.5,40310.0,28220.0,2549.0,3498.0
2024-03-12,2779.5,40300.0,28220.0,2586.0,3475.0
2024-03-13,2772.0,40160.0,28040.0,2600.0,3444.0
2024-03-14,2788.5,40300.0,28255.0,2611.0,3445.0
2024-03-15,2796.0,40160.0,28055.0,2613.0,3488.0
2024-03-18,2849.5,41220.0,29550.0,2666.0,3567.0
2024-03-19,2880.0,41460.0,29900.0,2692.0,3675.0
2024-03-21,2927.5,42320.0,31140.0,2685.0,3799.0
2024-03-22,2946.5,42430.0,31320.0,2690.0,3872.0
2024-03-25,2907.5,41950.0,30590.0,2610.0,3830.0
2024-03-26,2914.0,41970.0,30580.0,2622.0,3850.0
2024-03-27,2929.0,42270.0,31080.0,2641.0,3853.0
2024-03-28,2908.5,41920.0,30460.0,2586.0,3806.0
2024-03-29,2923.5,42130.0,30810.0,2594.0,3799.0
2024-04-01,2872.5,41590.0,30000.0,2613.0,3639.0
2024-04-02,2864.0,41620.0,30040.0,2606.0,3633.0
2024-04-03,2857.5,41230.0,29465.0,2601.0,3620.0
