Ticker,1306.T,1306.T,1306.T,1306.T,1306.T,1306.T,1321.T,1321.T,1321.T,1321.T,1321.T,1321.T,1570.T,1570.T,1570.T,1570.T,1570.T,1570.T,6758.T,6758.T,6758.T,6758.T,6758.T,6758.T,7203.T,7203.T,7203.T,7203.T,7203.T,7203.T
Price,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-04,2433.31005859375,2487.0,2491.0,2441.5,2463.5,2303660,33400.98046875,34510.0,34540.0,33910.0,34240.0,316322,20880.0,20880.0,20895.0,20125.0,20375.0,6770283,2576.436767578125,2619.0,2668.0,2619.0,2666.0,19739500,2446.039794921875,2635.0,2635.0,2572.0,2605.0,29812900
2024-01-05,2447.986328125,2502.0,2511.5,2492.5,2495.0,1701460,33536.484375,34650.0,34820.0,34490.0,34590.0,304422,21010.0,21010.0,21230.0,20840.0,20960.0,4509413,2591.193359375,2634.0,2634.0,2599.0,2610.0,10830500,2507.77099609375,2701.5,2708.0,2643.5,2643.5,30515500
2024-01-09,2467.55419921875,2522.0,2543.0,2510.5,2530.0,2099240,33904.26953125,35030.0,35250.0,34850.0,35060.0,344928,21490.0,21490.0,21750.0,21265.0,21510.0,6718322,2624.640625,2668.0,2686.0,2645.0,2666.0,15597500,2500.80859375,2694.0,2716.0,2662.5,2715.0,30486100
2024-01-10,2500.8203125,2556.0,2564.5,2527.0,2529.0,2459440,34601.1328125,35750.0,35820.0,35140.0,35170.0,683803,22375.0,22375.0,22465.0,21630.0,21670.0,8948268,2724.982666015625,2770.0,2780.0,2673.0,2681.0,22891000,2548.151611328125,2745.0,2752.0,2679.5,2684.0,33701200
2024-01-11,2539.956787109375,2596.0,2606.5,2588.5,2590.0,3294460,35220.5625,36390.0,36460.0,36130.0,36190.0,563498,23195.0,23195.0,23270.0,22855.0,23050.0,8345934,2821.39013671875,2868.0,2884.0,2833.0,2853.0,28131500,2640.0517578125,2844.0,2867.5,2827.0,2827.0,49003100
2024-01-12,2552.18701171875,2608.5,2625.5,2600.0,2608.5,2890260,35704.49609375,36890.0,37040.0,36660.0,36680.0,631843,23825.0,23825.0,24020.0,23515.0,23535.0,8587075,2867.626220703125,2915.0,2916.0,2854.0,2900.0,27149000,2633.553955078125,2837.0,2883.0,2820.5,2880.0,34169200
2024-01-15,2564.417236328125,2621.0,2622.5,2610.5,2615.5,353550,35791.60546875,36980.0,36990.0,36860.0,36940.0,78233,23915.0,23915.0,23945.0,23775.0,23895.0,1263246,2837.130126953125,2884.0,2893.0,2862.0,2893.0,4776500,2645.15771484375,2849.5,2855.0,2830.0,2854.0,4866000
2024-01-16,2564.906494140625,2621.5,2643.5,2610.5,2615.5,2359910,35801.28125,36990.0,37300.0,36860.0,36940.0,549245,23910.0,23910.0,24345.0,23775.0,23895.0,7159284,2829.260009765625,2876.0,2910.0,2869.0,2897.0,14363000,2649.799072265625,2854.5,2869.5,2830.0,2854.0,23810700
2024-01-17,2552.18701171875,2608.5,2660.0,2608.0,2631.5,7039470,35636.74609375,36820.0,37590.0,36790.0,37240.0,618214,23690.0,23690.0,24715.0,23675.0,24255.0,9894139,2836.146240234375,2883.0,2978.0,2883.0,2896.0,23440500,2651.655517578125,2856.5,2920.0,2846.5,2880.0,42925400
2024-01-18,2549.251708984375,2605.5,2622.5,2604.0,2606.5,1975130,35588.3515625,36770.0,37070.0,36680.0,36710.0,434007,23660.0,23660.0,24035.0,23525.0,23560.0,6279745,2801.715087890625,2848.0,2883.0,2848.0,2865.0,15630500,2721.277587890625,2931.5,2964.0,2873.0,2880.0,45748100
2024-01-19,2567.841552734375,2624.5,2642.0,2613.5,2638.5,2223670,36120.67578125,37320.0,37490.0,37120.0,37450.0,504522,24340.0,24340.0,24505.0,24085.0,24495.0,7444336,2857.788818359375,2905.0,2922.0,2888.0,2908.0,16830000,2749.58984375,2962.0,2985.0,2937.0,2985.0,38896900
2024-01-22,2605.999755859375,2663.5,2663.5,2640.5,2644.0,885300,36711.07421875,37930.0,37940.0,37640.0,37730.0,480858,25155.0,25155.0,25165.0,24780.0,24840.0,6556143,2911.894775390625,2960.0,2975.0,2929.0,2930.0,15589000,2768.155517578125,2982.0,2987.5,2956.5,2965.0,27665300
2024-01-23,2602.086181640625,2659.5,2684.5,2649.5,2667.5,1753450,36672.36328125,37890.0,38370.0,37770.0,37990.0,553499,25080.0,25080.0,25730.0,24945.0,25220.0,10046228,2891.236083984375,2939.0,2983.0,2934.0,2959.0,18784000,2776.510009765625,2991.0,3034.0,2971.0,2997.0,40894100
2024-01-24,2586.920654296875,2644.0,2658.0,2636.0,2652.5,6703240,36362.640625,37570.0,37840.0,37440.0,37840.0,413362,24650.0,24650.0,25025.0,24505.0,25025.0,7052907,2859.75634765625,2907.0,2913.0,2893.0,2910.0,13437500,2747.269287109375,2959.5,3018.0,2952.0,3000.0,28933300
2024-01-25,2589.855712890625,2647.0,2650.5,2629.0,2641.5,1600130,36391.6796875,37600.0,37660.0,37240.0,37520.0,333836,24725.0,24725.0,24795.0,24235.0,24600.0,5475689,2824.34130859375,2871.0,2913.0,2864.0,2893.0,15915500,2751.446533203125,2964.0,2964.0,2964.0,2964.0,28781400
2024-01-26,2555.611328125,2612.0,2637.0,2610.5,2633.5,1766370,35878.7109375,37070.0,37400.0,37010.0,37270.0,346177,24035.0,24035.0,24460.0,23950.0,24280.0,6678405,2755.47900390625,2801.0,2854.0,2801.0,2851.0,19076000,2685.07373046875,2892.5,2950.0,2888.5,2950.0,33005600
2024-01-29,2586.431396484375,2643.5,2653.0,2623.5,2623.5,846040,36178.75,37380.0,37540.0,37130.0,37160.0,229422,24405.0,24405.0,24620.0,24105.0,24130.0,4904416,2824.34130859375,2871.0,2882.0,2846.0,2849.0,13695500,2769.548095703125,2983.5,2994.0,2928.0,2929.0,39361500
2024-01-30,2586.431396484375,2643.5,2657.0,2642.0,2651.0,2044240,36207.78515625,37410.0,37600.0,37370.0,37570.0,236904,24445.0,24445.0,24695.0,24405.0,24665.0,4359682,2848.93505859375,2896.0,2905.0,2883.0,2887.0,16211500,2747.269287109375,2959.5,2983.5,2931.0,2950.0,30914300
2024-01-31,2612.359375,2670.0,2670.0,2629.0,2630.0,1744230,36430.39453125,37640.0,37640.0,37010.0,37050.0,218734,24760.0,24760.0,24760.0,23925.0,23990.0,5410705,2891.236083984375,2939.0,2940.0,2887.0,2898.0,19762500,2784.864990234375,3000.0,3000.0,2939.0,2940.0,28387200
2024-02-01,2592.302001953125,2649.5,2661.0,2643.0,2649.5,2599480,36101.3203125,37300.0,37490.0,37260.0,37290.0,347380,24335.0,24335.0,24560.0,24245.0,24295.0,5802833,2831.227783203125,2878.0,2912.0,2871.0,2900.0,16904500,2733.80908203125,2945.0,2960.0,2931.0,2940.5,29852200
2024-02-02,2600.129150390625,2657.5,2669.0,2647.5,2662.0,2030940,36314.25,37520.0,37800.0,37420.0,37600.0,263338,24590.0,24590.0,24950.0,24455.0,24690.0,6685629,2847.951171875,2895.0,2912.0,2870.0,2888.0,14228000,2739.843017578125,2951.5,2966.0,2938.0,2963.5,24939800
2024-02-05,2620.67578125,2678.5,2682.0,2664.5,2679.0,1893080,36536.859375,37750.0,37840.0,37550.0,37840.0,200768,24880.0,24880.0,25005.0,24635.0,25000.0,5037089,2847.951171875,2895.0,2924.0,2889.0,2910.0,11595500,2777.4384765625,2992.0,3007.0,2959.0,2995.5,29891100
2024-02-06,2599.150634765625,2656.5,2667.5,2649.5,2667.5,1663450,36304.57421875,37510.0,37840.0,37410.0,37630.0,226301,24550.0,24550.0,24755.0,24440.0,24710.0,4053722,2804.66650390625,2851.0,2884.0,2834.0,2880.0,17012500,2910.183837890625,3135.0,3148.0,2951.5,2999.5,80031600
2024-02-07,2610.402587890625,2668.0,2677.0,2651.5,2652.0,976570,36285.21484375,37490.0,37540.0,37190.0,37280.0,277654,24540.0,24540.0,24625.0,24140.0,24260.0,5440521,2813.52001953125,2860.0,2876.0,2835.0,2876.0,14526500,3026.219482421875,3260.0,3364.0,3190.0,3195.0,90841000
